Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.83868E-3,57.760503606,0.807616927,0.017447465,0.592,0.704
1.84853E-3,58.061782527,0.809307843,0.017254675,0.597333333,0.704
1.85245E-3,58.315361333,0.809977879,0.01715828,0.6,0.712
1.85402E-3,58.500763006,0.81024397,0.017061885,0.6,0.712
1.85749E-3,58.872022331,0.810834656,0.016869096,0.605333333,0.712
1.86091E-3,59.058113434,0.811413107,0.016772701,0.608,0.72
1.86167E-3,59.430406004,0.81154063,0.016579911,0.613333333,0.72
1.8643E-3,59.616835777,0.811984784,0.016483516,0.616,0.72
1.86738E-3,59.803573367,0.812502878,0.016387122,0.618666667,0.72
1.87158E-3,60.177596376,0.813208248,0.016194332,0.624,0.72
1.87305E-3,60.364901056,0.813453624,0.016097937,0.626666667,0.72
1.88324E-3,60.542841702,0.815151004,0.016001542,0.629333333,0.728
1.90928E-3,60.934839011,0.819416129,0.015808753,0.634666667,0.752
1.91048E-3,61.125886907,0.819609462,0.015712358,0.637333333,0.752
1.91393E-3,61.317280406,0.82016747,0.015615963,0.637333333,0.752
1.91823E-3,61.509103676,0.820858967,0.015519568,0.64,0.752
1.91921E-3,61.892928175,0.82101525,0.015326778,0.642666667,0.752
1.9196E-3,62.084888375,0.821078727,0.015230384,0.645333333,0.752
1.92645E-3,62.277533021,0.822173166,0.015133989,0.648,0.752
1.9296E-3,62.517727011,0.822674994,0.014941199,0.650666667,0.76
1.93184E-3,62.856777825,0.82303084,0.014844804,0.653333333,0.768
1.93896E-3,63.050673727,0.824156663,0.014748409,0.656,0.768
1.94226E-3,63.345369291,0.824676628,0.01455562,0.658666667,0.768
1.94542E-3,63.555411171,0.82517295,0.014459225,0.661333333,0.776
1.95345E-3,63.829118673,0.826426714,0.01436283,0.664,0.8
1.95507E-3,64.024626029,0.826678589,0.014266435,0.666666667,0.8
1.95758E-3,64.416057534,0.827067265,0.014073646,0.672,0.8
1.96088E-3,64.612145526,0.827578392,0.013977251,0.674666667,0.8
